,idMunicipio,idMacroRegiao,idRegiaoSaude,descricaoMunicipio,latitude,longitude,descricaoMacroRegiao,data,quantidade,tipo,log_quantidade
146,230730,8,21,JUAZEIRO DO NORTE,-720796,-3930932,CARIRI,2020-03-20,1.0,Suspeito,0.0
147,230730,8,21,JUAZEIRO DO NORTE,-720796,-3930932,CARIRI,2020-03-21,1.0,Suspeito,0.0
148,230730,8,21,JUAZEIRO DO NORTE,-720796,-3930932,CARIRI,2020-03-22,1.0,Suspeito,0.0
149,230730,8,21,JUAZEIRO DO NORTE,-720796,-3930932,CARIRI,2020-03-23,5.0,Suspeito,1.6094379124341003
150,230730,8,21,JUAZEIRO DO NORTE,-720796,-3930932,CARIRI,2020-03-24,7.0,Suspeito,1.9459101490553132
151,230730,8,21,JUAZEIRO DO NORTE,-720796,-3930932,CARIRI,2020-03-25,2.0,Suspeito,0.6931471805599453
152,230730,8,21,JUAZEIRO DO NORTE,-720796,-3930932,CARIRI,2020-03-26,2.0,Suspeito,0.6931471805599453
153,230730,8,21,JUAZEIRO DO NORTE,-720796,-3930932,CARIRI,2020-03-27,2.0,Suspeito,0.6931471805599453
154,230730,8,21,JUAZEIRO DO NORTE,-720796,-3930932,CARIRI,2020-03-28,1.0,Suspeito,0.0
155,230730,8,21,JUAZEIRO DO NORTE,-720796,-3930932,CARIRI,2020-03-29,2.0,Suspeito,0.6931471805599453
156,230730,8,21,JUAZEIRO DO NORTE,-720796,-3930932,CARIRI,2020-03-30,13.0,Suspeito,2.5649493574615367
157,230730,8,21,JUAZEIRO DO NORTE,-720796,-3930932,CARIRI,2020-03-31,1.0,Suspeito,0.0
158,230730,8,21,JUAZEIRO DO NORTE,-720796,-3930932,CARIRI,2020-04-01,1.0,Suspeito,0.0
159,230730,8,21,JUAZEIRO DO NORTE,-720796,-3930932,CARIRI,2020-04-02,1.0,Suspeito,0.0
160,230730,8,21,JUAZEIRO DO NORTE,-720796,-3930932,CARIRI,2020-04-03,2.0,Suspeito,0.6931471805599453
161,230730,8,21,JUAZEIRO DO NORTE,-720796,-3930932,CARIRI,2020-04-04,3.0,Suspeito,1.0986122886681098
162,230730,8,21,JUAZEIRO DO NORTE,-720796,-3930932,CARIRI,2020-04-05,7.0,Suspeito,1.9459101490553132
163,230730,8,21,JUAZEIRO DO NORTE,-720796,-3930932,CARIRI,2020-04-05,2.0,Confirmado,0.6931471805599453
164,230730,8,21,JUAZEIRO DO NORTE,-720796,-3930932,CARIRI,2020-04-06,5.0,Suspeito,1.6094379124341003
165,230730,8,21,JUAZEIRO DO NORTE,-720796,-3930932,CARIRI,2020-04-07,1.0,Suspeito,0.0
166,230730,8,21,JUAZEIRO DO NORTE,-720796,-3930932,CARIRI,2020-04-08,1.0,Suspeito,0.0
167,230730,8,21,JUAZEIRO DO NORTE,-720796,-3930932,CARIRI,2020-04-09,1.0,Suspeito,0.0
168,230740,8,18,JUCAS,-652192,-3952327,CARIRI,2020-03-27,1.0,Suspeito,0.0
169,230740,8,18,JUCAS,-652192,-3952327,CARIRI,2020-03-28,1.0,Suspeito,0.0
170,230740,8,18,JUCAS,-652192,-3952327,CARIRI,2020-03-30,1.0,Suspeito,0.0
171,230740,8,18,JUCAS,-652192,-3952327,CARIRI,2020-04-02,1.0,Suspeito,0.0
172,230740,8,18,JUCAS,-652192,-3952327,CARIRI,2020-04-06,1.0,Suspeito,0.0
173,230750,8,17,LAVRAS DA MANGABEIRA,-675203,-3895881,CARIRI,2020-03-28,3.0,Suspeito,1.0986122886681098
174,230750,8,17,LAVRAS DA MANGABEIRA,-675203,-3895881,CARIRI,2020-03-31,2.0,Suspeito,0.6931471805599453
175,230750,8,17,LAVRAS DA MANGABEIRA,-675203,-3895881,CARIRI,2020-04-06,1.0,Suspeito,0.0
176,230750,8,17,LAVRAS DA MANGABEIRA,-675203,-3895881,CARIRI,2020-04-06,1.0,Confirmado,0.0
177,230750,8,17,LAVRAS DA MANGABEIRA,-675203,-3895881,CARIRI,2020-04-09,1.0,Suspeito,0.0
178,230810,8,19,MAURITI,-738689,-3877141,CARIRI,2020-03-24,1.0,Confirmado,0.0
179,230810,8,19,MAURITI,-738689,-3877141,CARIRI,2020-03-27,2.0,Suspeito,0.6931471805599453
180,230810,8,19,MAURITI,-738689,-3877141,CARIRI,2020-03-30,2.0,Suspeito,0.6931471805599453
181,230810,8,19,MAURITI,-738689,-3877141,CARIRI,2020-04-04,1.0,Suspeito,0.0
182,230810,8,19,MAURITI,-738689,-3877141,CARIRI,2020-04-09,1.0,Suspeito,0.0
183,230830,8,19,MILAGRES,-730813,-3894079,CARIRI,2020-03-26,2.0,Suspeito,0.6931471805599453
184,230830,8,19,MILAGRES,-730813,-3894079,CARIRI,2020-03-31,1.0,Suspeito,0.0
185,230830,8,19,MILAGRES,-730813,-3894079,CARIRI,2020-04-07,2.0,Suspeito,0.6931471805599453
186,230840,8,21,MISSAO VELHA,-724333,-3913926,CARIRI,2020-03-21,1.0,Suspeito,0.0
187,230840,8,21,MISSAO VELHA,-724333,-3913926,CARIRI,2020-03-24,1.0,Suspeito,0.0
188,230840,8,21,MISSAO VELHA,-724333,-3913926,CARIRI,2020-03-26,1.0,Suspeito,0.0
189,230840,8,21,MISSAO VELHA,-724333,-3913926,CARIRI,2020-03-27,1.0,Suspeito,0.0
190,230850,8,18,MOMBACA,-573926,-3962328,CARIRI,2020-03-20,1.0,Suspeito,0.0
191,230850,8,18,MOMBACA,-573926,-3962328,CARIRI,2020-03-28,1.0,Suspeito,0.0
192,230850,8,18,MOMBACA,-573926,-3962328,CARIRI,2020-03-29,1.0,Suspeito,0.0
193,230850,8,18,MOMBACA,-573926,-3962328,CARIRI,2020-03-30,2.0,Suspeito,0.6931471805599453
194,230850,8,18,MOMBACA,-573926,-3962328,CARIRI,2020-04-08,1.0,Confirmado,0.0
195,230850,8,18,MOMBACA,-573926,-3962328,CARIRI,2020-04-09,1.0,Suspeito,0.0
196,230850,8,18,MOMBACA,-573926,-3962328,CARIRI,2020-04-10,1.0,Confirmado,0.0
197,230920,8,20,NOVA OLINDA,-708842,-3967514,CARIRI,2020-03-22,1.0,Suspeito,0.0
198,230920,8,20,NOVA OLINDA,-708842,-3967514,CARIRI,2020-03-30,1.0,Suspeito,0.0
